cohort,year,n_control,n_treatment,y_control,y_treatment,d1_control,d1_treatment,delta
2004,2003,480,20,5.782627443974717,6.179696833586361,,,
2004,2004,480,20,5.728866537071744,6.106563563007467,-0.05376090690297275,-0.07313327057889385,-0.0193723636759211
2004,2005,480,20,5.740701796187789,6.059452086737373,0.01183525911604466,-0.04711147627009371,-0.05894673538613837
2004,2006,440,20,5.693966930581888,6.02670435425179,-0.046734865605901454,-0.03274773248558294,0.013987133120318518
2004,2007,309,20,5.6611325403710895,6.085387988372213,-0.03283439021079815,0.0586836341204231,0.09151802433122125
2006,2003,460,40,5.731076879674676,6.573993628231014,,,
2006,2004,440,40,5.6571377025966925,6.517883716297314,-0.07393917707798359,-0.05610991193369941,0.01782926514428418
2006,2005,440,40,5.669134565554052,6.527941333158886,0.011996862957359689,0.010057616861571361,-0.0019392460957883273
2006,2006,440,40,5.693966930581888,6.557434574506698,0.02483236502783548,0.029493241347812393,0.004660876319976914
2006,2007,309,40,5.6611325403710895,6.543040968229766,-0.03283439021079815,-0.01439360627693187,0.018440783933866278
2007,2003,369,131,5.782748939711154,5.842906496383018,,,
2007,2004,349,131,5.69811847586745,5.810783127608378,-0.08463046384370365,-0.032123368774640504,0.05250709506906315
2007,2005,349,131,5.710611631393521,5.820865670334352,0.012493155526070332,0.010082542725974086,-0.0024106128000962457
2007,2006,309,131,5.638896282054666,5.823866399245336,-0.07171534933885493,0.0030007289109841295,0.07471607824983906
2007,2007,309,131,5.6611325403710895,5.820048246842565,0.02223625831642373,-0.003818152402771169,-0.026054410719194898
